encounter_id,encounter_date,species_name,encounter_locality,encounter_adults,encounter_young,encounter_lat,encounter_lng,attractant_names,enctype_name,outcome_name,group_code
256639,2018-12-30 09:27:57,BLACK BEAR,NELSON,1,0,49.4933334,-117.2958333,NOT APPLICABLE,ORPHANED,NOT SPECIFIED,COS
256628,2018-12-29 15:50:44,BLACK BEAR,PORT COQUITLAM,1,0,49.2306655,-122.7772207,,SIGHTINGS,NOT SPECIFIED,COS
256626,2018-12-29 15:08:11,BLACK BEAR,PORT COQUITLAM,1,0,49.2316421,-122.7743242,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256629,2018-12-29 14:50:36,BLACK BEAR,PORT COQUITLAM,1,0,49.2619445,-122.7802778,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256620,2018-12-29 10:45:24,BLACK BEAR,CAMPBELL RIVER,1,0,50.0222914,-125.2729642,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256619,2018-12-29 09:09:19,BLACK BEAR,LANTZVILLE,1,0,49.2507231,-124.1352128,"COMPOST, GARBAGE",FOOD CONDITIONED,TRAP SET - NO CAPTURE,COS
256610,2018-12-28 17:01:11,BLACK BEAR,VICTORIA,1,0,48.4283334,-123.3647222,,SIGHTINGS,OTHER,COS
256611,2018-12-28 15:54:06,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256604,2018-12-28 11:13:08,BLACK BEAR,ERRINGTON,1,0,49.2888889,-124.3694444,GARBAGE,FOOD CONDITIONED,TRAP SET - NO CAPTURE,COS
256602,2018-12-28 10:30:20,BLACK BEAR,NELSON,1,0,49.4933334,-117.2958333,NOT APPLICABLE,ORPHANED,NOT SPECIFIED,COS
256601,2018-12-28 10:19:19,BLACK BEAR,,1,0,53.913051,-122.7452849,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256600,2018-12-28 10:15:56,BLACK BEAR,PORT ALBERNI,1,0,49.2490859,-124.8037712,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256593,2018-12-28 00:13:37,BLACK BEAR,PORT ALBERNI,1,0,49.2678916,-124.8302514,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256592,2018-12-27 22:19:39,BLACK BEAR,PORT HARDY,1,0,50.7241383,-127.509948,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256590,2018-12-27 21:48:59,BLACK BEAR,COQUITLAM,1,0,49.2499439,-122.8114042,OTHER,FOOD CONDITIONED,NOT SPECIFIED,COS
256581,2018-12-27 14:31:38,BLACK BEAR,HORSEFLY,0,1,52.373303,-121.2862734,GARBAGE,FOOD CONDITIONED,DESTROYED BY COS,COS
256574,2018-12-27 12:48:54,BLACK BEAR,SOOKE,1,0,48.3841062,-123.7413082,COMPOST,FOOD CONDITIONED,ADVICE PROVIDED,COS
256571,2018-12-27 12:00:35,BLACK BEAR,CRESTON,1,0,49.0979718,-116.5116955,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256566,2018-12-27 05:12:50,BLACK BEAR,PORT ALBERNI,1,0,49.2344445,-124.8058333,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256562,2018-12-26 21:05:00,BLACK BEAR,PORT COQUITLAM,1,0,49.2333115,-122.7735079,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256561,2018-12-26 19:24:21,BLACK BEAR,PORT COQUITLAM,1,0,49.2327404,-122.7727924,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256559,2018-12-26 17:28:37,BLACK BEAR,DUNCAN,1,0,48.7555527,-123.7811362,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256554,2018-12-26 12:56:16,BLACK BEAR,COURTENAY,1,0,49.6894445,-124.9958333,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256551,2018-12-26 11:10:26,BLACK BEAR,COQUITLAM,1,0,49.2396049,-122.8304758,"GARBAGE, OTHER",FOOD CONDITIONED,NOT SPECIFIED,COS
256550,2018-12-26 09:36:22,BLACK BEAR,CASTLEGAR,1,0,49.2850685,-117.6633528,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256546,2018-12-26 04:33:23,BLACK BEAR,PORT ALBERNI,1,0,49.2490453,-124.7872347,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256531,2018-12-24 19:42:11,BLACK BEAR,LANCEVILLE,1,0,51.9193551,-123.0431074,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256513,2018-12-24 09:55:37,BLACK BEAR,COQUITLAM,1,0,49.2470778,-122.8144241,"COMPOST, GARBAGE",FOOD CONDITIONED,ADVICE PROVIDED,COS
256510,2018-12-24 09:28:55,BLACK BEAR,QUALICUM BEACH,1,0,49.3576746,-124.4074753,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256522,2018-12-24 01:00:00,BLACK BEAR,CAMPBELL RIVER,1,0,50.0323045,-125.2580008,GARBAGE,FOOD CONDITIONED,OTHER,COS
256486,2018-12-23 23:30:00,BLACK BEAR,SOOKE,1,0,48.3884141,-123.7222718,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256508,2018-12-23 23:15:16,BLACK BEAR,NORTH VAN`,1,0,49.3673209,-123.09725,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256507,2018-12-23 23:11:38,BLACK BEAR,COUTENAY,1,0,49.6894445,-124.9958333,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256505,2018-12-23 21:56:05,BLACK BEAR,COMOX,1,0,49.7096721,-124.9308527,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256504,2018-12-23 21:15:46,BLACK BEAR,COLWOOD,1,0,48.407058,-123.5076557,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256492,2018-12-23 16:03:11,BLACK BEAR,PG,1,0,53.8580163,-122.804996,NOT APPLICABLE,INJURED/DISTRESSED,NOT SPECIFIED,COS
256490,2018-12-23 10:39:08,BLACK BEAR,MAPLE RIDGE,1,0,49.22,-122.5988889,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256487,2018-12-23 09:01:16,BLACK BEAR,COURTENAY,1,0,49.7067594,-124.9895356,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256485,2018-12-23 08:43:36,BLACK BEAR,LANTZVILLE,1,0,49.2504294,-124.140164,COMPOST,FOOD CONDITIONED,ADVICE PROVIDED,COS
256484,2018-12-23 08:24:33,BLACK BEAR,NELSON,1,0,49.4933334,-117.2958333,NOT APPLICABLE,ORPHANED,NOT SPECIFIED,COS
256481,2018-12-23 06:36:44,BLACK BEAR,CHILLIWACK,1,0,49.1665073,-121.9512847,NOT APPLICABLE,HUMAN INJURY/DEATH,OTHER,COS
256477,2018-12-22 21:35:33,BLACK BEAR,PRINCE GEORGE,1,0,53.9130556,-122.7452778,NOT APPLICABLE,INJURED/DISTRESSED,NOT SPECIFIED,COS
256476,2018-12-22 21:30:21,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256478,2018-12-22 21:03:03,BLACK BEAR,PORT ALBERNI,1,0,49.271586,-124.8331104,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256469,2018-12-22 16:30:03,BLACK BEAR,DONALD,1,0,51.4958001,-117.174735,NOT APPLICABLE,INJURED/DISTRESSED,NOT SPECIFIED,COS
256464,2018-12-22 12:47:44,BLACK BEAR,PROPHET RIVER,1,0,58.0832045,-122.7014919,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256453,2018-12-21 23:11:07,BLACK BEAR,WEST VANCOUVER,1,0,49.3311112,-123.1597222,BEEHIVE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256436,2018-12-21 09:07:00,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,GARBAGE,FOOD CONDITIONED,OTHER,COS
256433,2018-12-21 08:13:24,BLACK BEAR,SHAWNIGAN LAKE,1,0,48.5754877,-123.6325937,GARBAGE,SCHOOL/PARK/PLAYGROUND,ADVICE PROVIDED,COS
256431,2018-12-21 07:59:58,BLACK BEAR,KIMBERLY,1,0,49.6638878,-115.9712011,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
256428,2018-12-21 07:15:00,BLACK BEAR,MAPLE RIDGE,1,0,49.189103,-122.5528652,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256442,2018-12-21 05:00:00,BLACK BEAR,CASTLEGAR,1,0,49.2828996,-117.6638104,NOT APPLICABLE,ORPHANED,NOT SPECIFIED,COS
256426,2018-12-21 01:34:24,BLACK BEAR,SHAWNIGAN,1,0,48.6575935,-123.6277102,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256423,2018-12-20 20:57:40,BLACK BEAR,PRINCE GEORGE,0,1,53.8688697,-122.7878204,NOT APPLICABLE,INJURED/DISTRESSED,DESTROYED BY COS,COS
256422,2018-12-20 20:18:06,BLACK BEAR,PORT COQUITLAM,1,0,49.2310991,-122.7769571,GARBAGE,FOOD CONDITIONED,OTHER,COS
256411,2018-12-20 13:34:37,BLACK BEAR,EDGEWATER,0,1,50.6997223,-116.1355556,NOT APPLICABLE,SIGHTINGS,OTHER,COS
256409,2018-12-20 12:15:37,BLACK BEAR,CAMPBELL RIVER,1,0,50.0219289,-125.2725374,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256406,2018-12-20 11:02:49,BLACK BEAR,EDGEWATER,0,1,50.6953046,-116.1325042,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
256407,2018-12-20 10:53:11,BLACK BEAR,MAPLE RIDGE,1,0,49.22,-122.5988889,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256404,2018-12-20 10:33:23,BLACK BEAR,LANTZVILLE,1,0,49.2504294,-124.140164,COMPOST,FOOD CONDITIONED,ADVICE PROVIDED,COS
256403,2018-12-20 10:08:35,BLACK BEAR,MAPLERIDGE,1,0,48.8845915,-123.5596289,PETS,FOOD CONDITIONED,OTHER,COS
256398,2018-12-20 09:11:58,GRIZZLY BEAR,SQUAMISH,1,0,49.6980556,-123.1558333,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256390,2018-12-20 07:50:38,BLACK BEAR,COURTENAY,1,0,49.6617634,-125.0555477,NOT APPLICABLE,DAMAGE TO PROPERTY,TRAP SET - NO CAPTURE,COS
256389,2018-12-20 06:52:16,BLACK BEAR,LANTZVILLE,1,0,49.2504294,-124.140164,COMPOST,FOOD CONDITIONED,NOT SPECIFIED,COS
256529,2018-12-20 00:01:00,BLACK BEAR,MAPLE RIDGE,1,0,49.2186584,-122.5604187,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256399,2018-12-19 23:30:00,BLACK BEAR,SQUAMISH,1,0,49.6980556,-123.1558333,NOT APPLICABLE,INJURED/DISTRESSED,OTHER,COS
256380,2018-12-19 16:55:24,BLACK BEAR,EDGEWATER,0,1,50.6997223,-116.1355556,NOT APPLICABLE,ORPHANED,ADVICE PROVIDED,COS
256379,2018-12-19 15:36:00,BLACK BEAR,MAPLE RIDGE,1,0,49.1868571,-122.5536492,NOT APPLICABLE,SCHOOL/PARK/PLAYGROUND,ADVICE PROVIDED,COS
256377,2018-12-19 15:33:20,BLACK BEAR,COURTENAY,1,0,49.7055412,-124.9881487,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256375,2018-12-19 15:19:54,BLACK BEAR,ALBION,1,0,49.1831694,-122.5513001,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256369,2018-12-19 12:51:00,BLACK BEAR,MAPLE RIDGE,1,0,49.1972894,-122.5549611,,DAMAGE TO PROPERTY,OTHER,COS
256364,2018-12-19 11:49:11,BLACK BEAR,VICTORIA,1,0,48.4283334,-123.3647222,GARBAGE,FOOD CONDITIONED,GONE ON ARRIVAL,COS
256363,2018-12-19 11:34:12,BLACK BEAR,COQUITLAM,1,0,49.2871437,-122.7811032,RESIDENTIAL - FRUIT TREES/BERRIES,DAMAGE TO PROPERTY,OTHER,COS
256361,2018-12-19 11:13:27,BLACK BEAR,CAMPBELL RIVER,1,0,50.0066805,-125.2524405,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256355,2018-12-19 10:04:29,GRIZZLY BEAR,BRACKENDALE,1,0,49.8323665,-123.148638,OTHER,FOOD CONDITIONED,OTHER,COS
256360,2018-12-19 09:00:00,BLACK BEAR,PRINCE GEORGE,1,0,53.9130556,-122.7452778,,AGGRESSIVE,GONE ON ARRIVAL,COS
256343,2018-12-19 08:41:11,BLACK BEAR,REVELSTOKE,1,0,50.9890977,-118.182932,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256342,2018-12-19 08:13:09,BLACK BEAR,,1,0,53.913051,-122.7452849,NOT APPLICABLE,INJURED/DISTRESSED,NOT SPECIFIED,COS
256346,2018-12-19 08:05:46,BLACK BEAR,CAMPBELL RIVER,1,0,50.0230556,-125.2436111,GARBAGE,DAMAGE TO PROPERTY,ADVICE PROVIDED,COS
256335,2018-12-18 21:24:06,BLACK BEAR,COURTENAY,1,0,49.7051979,-124.9909005,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256333,2018-12-18 20:45:33,BLACK BEAR,PARKSVILLE,1,0,49.3259854,-124.2807843,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256330,2018-12-18 20:35:22,BLACK BEAR,LANCEVILLE,1,0,51.9193551,-123.0431074,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256328,2018-12-18 17:22:06,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,GARBAGE,FOOD CONDITIONED,OTHER,COS
256325,2018-12-18 16:42:53,BLACK BEAR,DASHWOOD,1,0,49.3624909,-124.4897675,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256326,2018-12-18 16:08:08,BLACK BEAR,COURTENAY,1,0,49.6731686,-125.0068663,RESIDENTIAL - FRUIT TREES/BERRIES,FOOD CONDITIONED,ADVICE PROVIDED,COS
256323,2018-12-18 16:04:16,BLACK BEAR,COLWOOD,1,0,48.4054961,-123.5075761,COMPOST,FOOD CONDITIONED,NOT SPECIFIED,COS
256322,2018-12-18 15:50:54,BLACK BEAR,PENDER HARBOUR,0,1,49.6846935,-123.9571393,NOT APPLICABLE,OTHER,ADVICE PROVIDED,COS
256320,2018-12-18 14:51:27,BLACK BEAR,ROYSTON,1,0,49.6322159,-124.923118,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256318,2018-12-18 14:22:22,BLACK BEAR,EDGEWATER,0,1,50.6997223,-116.1355556,BIRD FEEDERS,FOOD CONDITIONED,ADVICE PROVIDED,COS
256317,2018-12-18 14:02:41,BLACK BEAR,EDGEWATER,0,1,50.6997223,-116.1355556,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
256319,2018-12-18 13:21:00,BLACK BEAR,DUNCAN,1,0,48.7618302,-123.7675791,COMPOST,SIGHTINGS,ADVICE PROVIDED,COS
256312,2018-12-18 12:29:55,BLACK BEAR,SQUAMISH,1,0,49.7095994,-123.1565956,"COMPOST, GARBAGE",FOOD CONDITIONED,ADVICE PROVIDED,COS
256310,2018-12-18 12:05:01,BLACK BEAR,NANAIMO,1,0,49.1790401,-124.0456081,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256313,2018-12-18 10:58:23,BLACK BEAR,NANAIMO,1,0,49.1183295,-123.9277471,"FREEZER, GARBAGE",FOOD CONDITIONED,TRAP SET - NO CAPTURE,COS
256311,2018-12-18 10:56:49,BLACK BEAR,COURTENAY,1,0,49.7021057,-124.9872404,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256306,2018-12-18 10:47:08,BLACK BEAR,SOOKE,1,0,48.3938281,-123.7028411,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256308,2018-12-18 10:40:47,BLACK BEAR,SHIRLEY,1,0,48.3831409,-123.9013194,NOT APPLICABLE,INJURED/DISTRESSED,ADVICE PROVIDED,COS
256309,2018-12-18 10:05:49,BLACK BEAR,COWICHAN BAY,1,0,48.7331492,-123.617991,"COMPOST, RESIDENTIAL - FRUIT TREES/BERRIES",FOOD CONDITIONED,ADVICE PROVIDED,COS
256301,2018-12-18 07:32:17,BLACK BEAR,BLACK CREEK,1,0,52.2963889,-121.0930556,NOT APPLICABLE,OTHER,OTHER,COS
256298,2018-12-18 07:17:09,BLACK BEAR,COLWOOD,1,0,48.4236112,-123.4933333,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256295,2018-12-17 16:55:19,BLACK BEAR,HIGHLANDS,1,0,48.5069892,-123.5066511,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256297,2018-12-17 16:28:00,BLACK BEAR,WHISTLER,1,0,50.1172223,-122.9547222,RESIDENTIAL - VEGETABLE GARDEN,SIGHTINGS,NOT SPECIFIED,COS
256287,2018-12-17 16:18:08,BLACK BEAR,EDGEWATER,1,0,50.7018194,-116.1255984,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256292,2018-12-17 15:17:44,BLACK BEAR,COMOX,1,0,49.6727778,-124.9277778,GARBAGE,FOOD CONDITIONED,OTHER,COS
256284,2018-12-17 15:12:58,BLACK BEAR,WILLIAMS LAKE,1,0,52.1167991,-122.1539611,NOT APPLICABLE,ORPHANED,ADVICE PROVIDED,COS
256279,2018-12-17 15:06:18,BLACK BEAR,WILLIAMS LAKE,1,0,52.1167991,-122.1539611,NOT APPLICABLE,ORPHANED,ADVICE PROVIDED,COS
256296,2018-12-17 14:56:21,BLACK BEAR,PORT ALBERNI,1,0,49.2749593,-124.812277,NOT APPLICABLE,DAMAGE TO PROPERTY,OTHER,COS
256290,2018-12-17 14:22:06,BLACK BEAR,PARKSVILLE,1,0,49.3088247,-124.2856813,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256276,2018-12-17 13:20:32,BLACK BEAR,WILLIAMS LAKE,1,0,52.1291667,-122.14,NOT APPLICABLE,ORPHANED,ADVICE PROVIDED,COS
256288,2018-12-17 13:04:02,BLACK BEAR,LANGFORD,1,0,48.4497223,-123.5044444,COMPOST,FOOD CONDITIONED,NOT SPECIFIED,COS
256289,2018-12-17 13:03:50,BLACK BEAR,PRINCE GEORGE,0,1,53.9130556,-122.7452778,NOT APPLICABLE,ORPHANED,OTHER,COS
256273,2018-12-17 12:17:38,BLACK BEAR,LANTZVILLE,1,0,49.2514892,-124.1641996,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256272,2018-12-17 12:08:46,BLACK BEAR,SOOKE,1,0,48.3827778,-123.7319444,"COMPOST, GARBAGE",FOOD CONDITIONED,ADVICE PROVIDED,COS
256271,2018-12-17 12:08:36,BLACK BEAR,WEST VANCOUVER,1,0,49.3311112,-123.1597222,GARBAGE,FOOD CONDITIONED,GONE ON ARRIVAL,COS
256269,2018-12-17 11:47:14,BLACK BEAR,POWELL RIVER,1,0,49.903692,-124.6277709,"BIRD FEEDERS, COMPOST",FOOD CONDITIONED,OTHER,COS
256268,2018-12-17 11:33:27,BLACK BEAR,COLWOOD,1,0,48.4236112,-123.4933333,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256267,2018-12-17 11:31:13,BLACK BEAR,QUEEN CHARLOTTE CITY,1,0,53.2991695,-132.197874,NOT APPLICABLE,DEAD WILDLIFE,DESTROYED BY OTHER,COS
256286,2018-12-17 11:30:00,BLACK BEAR,MAPLE RIDGE,1,0,49.1941491,-122.5475096,NOT APPLICABLE,DAMAGE TO PROPERTY,OTHER,COS
256260,2018-12-17 10:50:13,BLACK BEAR,LANGFORD,1,0,48.4072693,-123.5243405,"BIRD FEEDERS, GARBAGE",FOOD CONDITIONED,NOT SPECIFIED,COS
256257,2018-12-17 10:20:19,BLACK BEAR,PRINCE GEORGE,1,0,53.9130556,-122.7452778,GARBAGE,FOOD CONDITIONED,OTHER,COS
256252,2018-12-17 09:30:58,BLACK BEAR,COLWOOD,1,0,48.4236112,-123.4933333,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256248,2018-12-17 09:18:50,BLACK BEAR,SOOKE,0,2,48.3827778,-123.7319444,GARBAGE,CONFINED,SHORT-DISTANCE RELOCATION,COS
256245,2018-12-17 08:18:23,BLACK BEAR,BLACK CREEK,1,0,49.8582477,-125.1098573,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256246,2018-12-17 08:10:56,BLACK BEAR,PRINCE GEORGE,1,0,53.869039,-122.7844199,GARBAGE,FOOD CONDITIONED,OTHER,COS
256244,2018-12-17 07:48:03,BLACK BEAR,PORT ALBERNI,1,0,49.2344445,-124.8058333,NOT APPLICABLE,SCHOOL/PARK/PLAYGROUND,NOT SPECIFIED,COS
256242,2018-12-17 02:37:06,BLACK BEAR,PRINCE GEORGE,1,0,53.8728635,-122.7835443,GARBAGE,FOOD CONDITIONED,OTHER,COS
256241,2018-12-17 00:08:53,BLACK BEAR,PORT ALBERNI,1,0,49.2407668,-124.803615,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256224,2018-12-16 22:50:00,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256250,2018-12-16 19:00:00,BLACK BEAR,KIMBERLEY,1,0,49.685,-115.9816667,GARBAGE,FOOD CONDITIONED,OTHER,COS
256227,2018-12-16 12:15:05,BLACK BEAR,SURREY,1,0,49.2018788,-122.8114379,FREEZER,FOOD CONDITIONED,NOT SPECIFIED,COS
256226,2018-12-16 12:11:25,BLACK BEAR,WILLIAMS LAKE,1,0,52.1178681,-122.1540954,NOT APPLICABLE,ORPHANED,ADVICE PROVIDED,COS
256222,2018-12-16 10:16:54,BLACK BEAR,NANOOSE BAY,1,0,49.2664818,-124.2013702,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256217,2018-12-16 02:43:37,BLACK BEAR,COLWOOD,1,0,48.3989557,-123.4998302,GARBAGE,FOOD CONDITIONED,OTHER,COS
256216,2018-12-16 01:17:54,BLACK BEAR,COURTENAY,1,0,49.6824245,-125.009797,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256215,2018-12-16 00:13:34,BLACK BEAR,LANGFORD,1,0,48.4199315,-123.5147746,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256264,2018-12-16 00:01:00,BLACK BEAR,KIMBERLEY,1,0,49.685,-115.9816667,GARBAGE,FOOD CONDITIONED,TRAP SET - NO CAPTURE,COS
256214,2018-12-15 23:14:23,BLACK BEAR,VICTORIA,1,0,48.4057401,-123.5026275,GARBAGE,FOOD CONDITIONED,OTHER,COS
256213,2018-12-15 21:49:30,BLACK BEAR,VICTORIA,1,0,48.4055796,-123.5069109,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256259,2018-12-15 21:30:00,BLACK BEAR,COLWOOD,1,0,48.4069729,-123.5061071,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256212,2018-12-15 18:54:53,BLACK BEAR,BLACK CREEK,1,0,52.2963889,-121.0930556,"COMPOST, FREEZER, GARBAGE",INJURED/DISTRESSED,OTHER,COS
256210,2018-12-15 16:39:05,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256207,2018-12-15 15:09:46,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256204,2018-12-15 14:40:18,BLACK BEAR,COURTENAY,1,0,49.6894445,-124.9958333,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256283,2018-12-15 14:10:00,BLACK BEAR,GIBSONS,1,0,49.3972976,-123.5501816,BIRD FEEDERS,FOOD CONDITIONED,NOT SPECIFIED,COS
256203,2018-12-15 13:30:58,BLACK BEAR,NANAIMO,1,0,49.1221665,-123.9291781,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256200,2018-12-15 13:05:00,BLACK BEAR,WILLIAMS LAKE,1,0,52.1291667,-122.14,NOT APPLICABLE,ORPHANED,ADVICE PROVIDED,COS
256201,2018-12-15 12:44:41,BLACK BEAR,WILLIAMS LAKE,1,0,52.1176193,-122.1541761,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256198,2018-12-15 12:18:50,BLACK BEAR,COURTENAY,1,0,49.6617634,-125.0555477,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256199,2018-12-15 12:07:16,BLACK BEAR,MISSION,1,0,49.1613456,-122.3122054,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256202,2018-12-15 11:00:00,BLACK BEAR,WILLIAMS LAKE,1,0,52.1174638,-122.1551713,OTHER,ORPHANED,ADVICE PROVIDED,COS
256197,2018-12-15 10:48:49,BLACK BEAR,WHISTLER,1,0,50.1172223,-122.9547222,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256171,2018-12-15 02:08:08,BLACK BEAR,CAMPBELL RIVER,1,0,49.9779623,-125.2379372,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256179,2018-12-15 01:12:30,BLACK BEAR,NORTH VANCOUVER,1,0,49.3536036,-123.0858321,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
